continent,country,iso,total_deaths,total_affected,total_damages,total_occurrences,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized,gni_per_capita,bins
Americas,Grenada,GRD,45,61285,904500,8,10466.88221,319.9999928,2.871268408,111449,Grenada,Grenada,Guadeloupe,9610,Upper-Middle Income
Americas,Guatemala,GTM,28476,22158467,4839132,118,4478.424646,18319.99969,1.120698338,16346950,Guatemala,Guatemala,Guatemala,4400,Upper-Middle Income
Americas,Guyana,GUY,34,1313248,678000,13,6145.819277,2589.999914,3.324745367,779007,Guyana,Guyana,Guyana,6290,Upper-Middle Income
Americas,Haiti,HTI,248699,20133609,13017936,132,1479.345827,3289.999962,0.295778642,11123183,Haiti,Haiti,Haiti,1410,Lower-Middle Income
Americas,Honduras,HND,27299,12082878,5183879,92,2510.322943,10050.00019,1.048237401,9587523,Honduras,Honduras,Honduras,2330,Lower-Middle Income
Americas,Jamaica,JAM,442,2705422,2836122,40,5359.993789,8609.999657,2.933707295,2934853,Jamaica,Jamaica,Jamaica,5010,Upper-Middle Income
Americas,Mexico,MEX,22888,20710568,55299415,290,9686.984927,452570.0073,3.58639514,126190782,Mexico,Mexico,Mexico,9180,Upper-Middle Income
Americas,Nicaragua,NIC,15314,5922590,3653959,84,2014.575189,5110.000134,0.79034855,6465502,Nicaragua,Nicaragua,Nicaragua,1970,Lower-Middle Income
Americas,Panama,PAN,495,411014,397550,62,15544.99908,10060.00042,2.408503314,4176868,Panama,Panama,Panama,14490,High-Income
Americas,Paraguay,PRY,380,4324790,153557,59,5782.78455,8470.000267,1.217641784,6956069,Paraguay,Paraguay,Paraguay,5600,Upper-Middle Income
Americas,Peru,PER,89780,23408766,6446250,200,6958.497262,54590.00015,1.706509986,31989265,Peru,Peru,Peru,6480,Upper-Middle Income
Americas,Puerto Rico,PRI,833,935799,72657800,34,31604.70151,,,3193354,Puerto Rico,Puerto Rico,Puerto Rico,21080,High-Income
Americas,Saint Kitts and Nevis,KNA,6,14780,704900,10,20567.25826,250,4.767534994,52438,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,19780,High-Income
Americas,Saint Lucia,LCA,48,313427,173245,21,11353.71523,529.9999714,2.913848872,181890,St. Lucia,St. Lucia,St. Lucia,10720,Upper-Middle Income
Americas,Saint Vincent and the Grenadines,VCT,154,109680,511600,23,8024.028496,250,2.268396697,110210,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,7990,Upper-Middle Income
Americas,Sint Maarten (Dutch part),SXM,4,5040,2500000,1,28988.25921,,,40895,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),27510,High-Income
Americas,Suriname,SUR,5,55248,50,5,6938.086981,2210.000038,3.836892218,575987,Suriname,Suriname,Suriname,5970,Upper-Middle Income
Americas,Trinidad and Tobago,TTO,34,203187,64770,12,17139.18567,17780.00069,12.79283075,1389841,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,16120,High-Income
Americas,Turks and Caicos Islands (the),TCA,4,2470,1000005,7,29553.1367,,,37667,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,28340,High-Income
Americas,United States of America (the),USA,24921,115636239,1350195280,1059,62805.25376,4975310.059,15.22254765,326838199,United States,United States,United States,63490,High-Income
Americas,Uruguay,URY,44,293803,867000,35,18703.86029,6539.999962,1.896042363,3449290,Uruguay,Uruguay,Uruguay,17280,High-Income
Asia,Afghanistan,AFG,26721,34815618,603320,210,485.6684187,6070.000172,0.1632953,37171922,Afghanistan,Afghanistan,Afghanistan,510,Low-Income
